name,category,spec,price,code,description,availability,image,published
Pom Pom Chakri Lardi,Rajasthani & Haldi-Mehndi-Mayra Décor,5 ft · packet of 10,700,414,"Pom Pom Chakri Lardi, 5 ft, sold in packets of 10 at ₹700 a packet.",in_stock,/img/products/414.webp,yes
Square Churdi Tassal,Rajasthani & Haldi-Mehndi-Mayra Décor,4.5 ft ₹75 · per piece,75,415,"Square Churdi Tassal, 4.5 ft, at ₹75 per piece.",in_stock,/img/products/415.webp,yes
Lotus Rajni Gendu,Rajasthani & Haldi-Mehndi-Mayra Décor,3.6 ft ₹75 · per piece,75,416,"Lotus Rajni Gendu, 3.6 ft, at ₹75 per piece.",in_stock,/img/products/416.webp,yes
Mogra Chakri Gendu,Rajasthani & Haldi-Mehndi-Mayra Décor,4 ft · packet of 5,400,417,"Mogra Chakri Gendu, 4 ft, sold in packets of 5 at ₹400 a packet.",in_stock,/img/products/417.webp,yes
Crystal Lardi,Rajasthani & Haldi-Mehndi-Mayra Décor,6 ft · packet of 10,850,418,"Crystal Lardi, 6 ft, sold in packets of 10 at ₹850 a packet.",in_stock,/img/products/418.webp,yes
Double Churdi Pompom Tussal,Rajasthani & Haldi-Mehndi-Mayra Décor,4 ft ₹105 · per piece,105,419,"Double Churdi Pompom Tussal, 4 ft, at ₹105 per piece.",in_stock,/img/products/419.webp,yes
Lotus Rajni,Rajasthani & Haldi-Mehndi-Mayra Décor,4 ft ₹110 · per piece,110,420,"Lotus Rajni, 4 ft, at ₹110 per piece.",in_stock,/img/products/420.webp,yes
Wool Tassal,Rajasthani & Haldi-Mehndi-Mayra Décor,29 cm · packet of 10,110,421,"Wool Tassal, 29 cm, sold in packets of 10 at ₹110 a packet.",in_stock,/img/products/421.webp|/img/products/421-2.webp|/img/products/421-3.webp,yes
Hanging Butterfly (2 × 2.2 ft),Lights & Lighting Décor,2 × 2.2 ft · per piece,850,3601,"Hanging butterfly light, 2 feet wide and 2.2 feet tall, at ₹850 per piece.",in_stock,/img/products/3601.webp|/img/products/3601-2.webp,yes
Hanging Butterfly (Design 2),Lights & Lighting Décor,Per piece,"1,120",3602,"Hanging butterfly light, at ₹1,120 per piece.",in_stock,/img/products/3602.webp,yes
Mango Leave Light Stand,Lights & Lighting Décor,1.10 × 5.5 ft · warm white · per piece,"1,420",3603,"Mango leave light stand, 1.10 feet wide and 5.5 feet tall, in warm white, at ₹1,420 per piece.",in_stock,/img/products/3603.webp|/img/products/3603-2.webp,yes
Flower Light Stand,Lights & Lighting Décor,"2.5 × 4 ft · warm white ₹1,550 · multi-colour with remote ₹1,750","1,550",3604,"Flower light stand, 2.5 feet wide and 4 feet tall: ₹1,550 in warm white, or ₹1,750 in multi-colour with a remote.",in_stock,/img/products/3604.webp|/img/products/3604-2.webp,yes
2 Pc Leave Light Stand,Lights & Lighting Décor,2.10 × 6.8 ft · warm white · per piece,"2,400",3605,"Two-piece leave light stand, 2.10 feet wide and 6.8 feet tall, in warm white, at ₹2,400 per piece.",in_stock,/img/products/3605.webp,yes
Butterfly Light Stand,Lights & Lighting Décor,7 × 6.5 ft · multi-colour with remote or warm white · per piece,"5,250",3606,"Butterfly light stand, 7 feet wide and 6.5 feet tall, at ₹5,250 per piece — multi-colour with a remote, or warm white.",in_stock,/img/products/3606.webp,yes
Wings Light Stand,Lights & Lighting Décor,6 × 6.8 ft · per piece,"5,250",3607,"Wings Light Stand, 6 × 6.8 ft, at ₹5,250 per piece.",in_stock,/img/products/3607.webp|/img/products/3607-2.webp,yes
Wings Light Stand Batak,Lights & Lighting Décor,7.5 × 7.5 ft · per piece,"6,800",3608,"Wings Light Stand Batak, 7.5 × 7.5 ft, at ₹6,800 per piece.",in_stock,/img/products/3608.webp,yes
Light Tree,Lights & Lighting Décor,6 × 6 ft · multi-colour or warm white · per piece,"4,200",3609,"Light tree, 6 × 6 feet, at ₹4,200 per piece, in multi-colour or warm white.",in_stock,/img/products/3609.webp,yes
Big Sun Light Stand,Lights & Lighting Décor,6 × 6.8 ft · per piece,"5,500",3610,"Big Sun Light Stand, 6 × 6.8 ft, at ₹5,500 per piece.",in_stock,/img/products/3610.webp,yes
Small Sun Light Stand,Lights & Lighting Décor,"3 ft ₹1,900 · 4 ft ₹2,400","1,900",3611,"Small sun light stand in two sizes, sold per piece: 3 feet ₹1,900, 4 feet ₹2,400.",in_stock,/img/products/3611.webp|/img/products/3611-2.webp,yes
Light Stand Panel,Lights & Lighting Décor,4 × 8 ft · per piece,"3,700",3612,"Light Stand Panel, 4 × 8 ft, at ₹3,700 per piece.",in_stock,/img/products/3612.webp,yes
Candle Light Panel,Lights & Lighting Décor,4 × 8 ft · per piece,"4,050",3613,"Candle Light Panel, 4 × 8 ft, at ₹4,050 per piece.",in_stock,/img/products/3613.webp,yes
Ring Light Panel,Lights & Lighting Décor,4 × 8 ft · per piece,"4,200",3614,"Ring Light Panel, 4 × 8 ft, at ₹4,200 per piece.",in_stock,/img/products/3614.webp|/img/products/3614-2.webp,yes
16 Candle Light Stand,Lights & Lighting Décor,4 × 5.7 ft · per piece,"2,100",3615,"16 Candle Light Stand, 4 × 5.7 ft, at ₹2,100 per piece.",in_stock,/img/products/3615.webp,yes
X Light Stand,Lights & Lighting Décor,4.8 × 4 ft · per piece,"1,650",3616,"X Light Stand, 4.8 × 4 ft, at ₹1,650 per piece.",in_stock,/img/products/3616.webp,yes
X Stand (Set of 3),Lights & Lighting Décor,"Set of 3 · 2, 3 and 4 ft · per set","3,000",3617,"X stand in a set of three — 2, 3 and 4 feet — at ₹3,000 per set.",in_stock,/img/products/3617.webp,yes
