name,category,spec,price,code,description,availability,image,published
Barfi Light Stand,Lights & Lighting Décor,3.4 × 5.4 ft · per piece,"1,800",3618,"Barfi light stand, 3.4 feet wide and 5.4 feet tall, at ₹1,800 per piece.",in_stock,/img/products/3618.webp,yes
Passage Ring Light Stand,Lights & Lighting Décor,8 × 8 ft · per piece,"3,000",3619,"Passage ring light stand, 8 × 8 feet, at ₹3,000 per piece — set in a row to light an entrance walkway.",in_stock,/img/products/3619.webp,yes
Iron Ring Stand,"Backdrops, Wall Panels & Cloths","3 × 3 ft ₹900 · 4 × 4 ft ₹1,200 · 5 × 5 ft ₹1,500 · 6 × 6 ft ₹1,800",900,3620,"Iron ring stand in four sizes, sold per piece: 3 × 3 ft ₹900, 4 × 4 ft ₹1,200, 5 × 5 ft ₹1,500, 6 × 6 ft ₹1,800.",in_stock,/img/products/3620.webp,yes
Photo Frame Stand,Accessories,2 × 4.5 ft · per piece,"1,500",3621,"Wooden photo frame stand, 2 feet wide and 4.5 feet tall, at ₹1,500 per piece.",in_stock,/img/products/3621.webp,yes
Love Stand,Accessories,2 × 4.5 ft · per piece,"2,100",3622,"LOVE letter stand, 2 feet wide and 4.5 feet tall, at ₹2,100 per piece.",in_stock,/img/products/3622.webp,yes
Wooden Selfie Stand with Mirror,Mirror Décor,6 ft tall · per piece,"9,800",3623,"Carved wooden selfie stand with a mirror, 6 feet tall, at ₹9,800 per piece.",in_stock,/img/products/3623.webp,yes
Jalebi Light Stand,Lights & Lighting Décor,2 × 5.5 ft · per piece,"2,400",3624,"Jalebi light stand, 2 feet wide and 5.5 feet tall, at ₹2,400 per piece.",in_stock,/img/products/3624.webp,yes
Ball Light Stand,Lights & Lighting Décor,6 ft tall · per piece,"2,800",3625,"Ball light stand, 6 feet tall, at ₹2,800 per piece.",in_stock,/img/products/3625.webp,yes
Umbrella Light Stand,Lights & Lighting Décor,Per piece,"3,500",3626,"Umbrella light stand, at ₹3,500 per piece — hung in a cluster overhead.",in_stock,/img/products/3626.webp|/img/products/3626-2.webp,yes
Capsule Light Stand,Lights & Lighting Décor,"Big 4.3 ft ₹1,500 · Small 3.3 ft ₹1,200","1,200",3627,"Capsule light stand in two sizes, sold per piece: big 4.3 feet ₹1,500, small 3.3 feet ₹1,200.",in_stock,/img/products/3627.webp,yes
Sun Light 13 Candle,Lights & Lighting Décor,13 candle holders · per piece,"1,950",3628,"Sun light stand with 13 candle holders, at ₹1,950 per piece.",in_stock,/img/products/3628.webp,yes
Sun Light 32 Candle,Lights & Lighting Décor,32 candle holders · per piece,"2,700",3629,"Sun light stand with 32 candle holders, at ₹2,700 per piece.",in_stock,/img/products/3629.webp,yes
New Star Light Stand,Lights & Lighting Décor,6 ft · per piece,"3,700",3630,"New star light stand, 6 feet, at ₹3,700 per piece.",in_stock,/img/products/3630.webp,yes
2/2 Flower Box,"Backdrops, Wall Panels & Cloths",2 × 2 ft · per piece,"3,000",3631,"Lit flower box, 2 × 2 feet, at ₹3,000 per piece — set side by side to build a flower wall.",in_stock,/img/products/3631.webp|/img/products/3631-2.webp,yes
Cloth Light,Lights & Lighting Décor,15 × 2.5 ft · per piece,650,3632,"Cloth light, 15 × 2.5 feet, at ₹650 per piece.",in_stock,/img/products/3632.webp,yes
Wooden Butterfly (2 × 2 ft),Accessories,2 × 2 ft · per piece,"1,125",3633,"Painted wooden butterfly, 2 × 2 feet, at ₹1,125 per piece.",in_stock,/img/products/3633.webp,yes
Wooden Butterfly (6 × 6 ft),Accessories,6 × 6 ft · per piece,"6,000",3634,"Painted wooden butterfly, 6 × 6 feet, at ₹6,000 per piece.",in_stock,/img/products/3634.webp,yes
Pyro Stand,SFX & Special Effects,Per piece,50,601,"Pyro stand, the metal tube and base a cold-pyro candle sits in, at ₹50 per piece.",in_stock,/img/products/601.webp|/img/products/601-2.webp,yes
Golden Pyro Stand,SFX & Special Effects,"2 ft, adjustable · per piece",200,602,"Golden pyro stand, 2 feet and adjustable, at ₹200 per piece.",in_stock,/img/products/602.webp,yes
Pyro Gun with LED Light,SFX & Special Effects,Per piece,115,603,"Pyro gun with an LED light, at ₹115 per piece.",in_stock,/img/products/603.webp,yes
Paper Confetti,SFX & Special Effects,Multi and single colours · per kg,125,604,"Paper confetti in multi and single colours, at ₹125 per kilo.",in_stock,/img/products/604.webp|/img/products/604-2.webp,yes
Jari Confetti,SFX & Special Effects,Per kg,140,605,"Jari confetti in gold and silver, at ₹140 per kilo.",in_stock,/img/products/605.webp,yes
A08 Pyro Remote Machine,SFX & Special Effects,Per set,"1,820",606,"A08 pyro remote machine, a set of four receivers with one remote, at ₹1,820 per set.",in_stock,/img/products/606.webp,yes
8 Channel Pyro Remote Machine E08,SFX & Special Effects,8 channels · per set,"3,640",607,"Eight-channel pyro remote machine (E08), supplied in a carry case, at ₹3,640 per set.",in_stock,/img/products/607.webp,yes
12 Channel Pyro Remote Machine E12,SFX & Special Effects,12 channels · per set,"4,900",608,"Twelve-channel pyro remote machine (E12), supplied in a carry case, at ₹4,900 per set.",in_stock,/img/products/608.webp|/img/products/608-2.webp,yes
