name,category,spec,price,code,description,availability,image,published
Kobe Spray,Packing & Bouquet Accessories,400 ml can · per piece,200,2311,"Kobe spray paint in a 400 ml can, at ₹200 per piece.",in_stock,/img/products/2311.webp,yes
Crock Light,Lights & Lighting Décor,Per piece,25,2312,"Crock light, at ₹25 per piece.",in_stock,/img/products/2312.webp|/img/products/2312-2.webp,yes
LED Diya,Lamps & Diyas,Packet of 10 · per packet,120,2313,"LED diyas, sold in packets of 10 at ₹120 a packet.",in_stock,/img/products/2313.webp|/img/products/2313-2.webp,yes
"Dry Fruit Tray (Bandej, 18 × 6 in)","Gift Boxes, Trays, Bags & Baskets",18 × 6 in ₹90,90,1101,"Dry Fruit Tray (Bandej, 18 × 6 in), 18 × 6 in, at ₹90 per piece.",in_stock,/img/products/1101.webp,yes
"Dry Fruit Tray (Bandej, 10 × 10 / 12 × 12 in)","Gift Boxes, Trays, Bags & Baskets",10 × 10 in ₹90 · 12 × 12 in ₹105,90,1102,"Dry Fruit Tray (Bandej, 10 × 10 / 12 × 12 in) in 2 sizes, sold per piece: 10 × 10 in ₹90, 12 × 12 in ₹105.",in_stock,/img/products/1102.webp|/img/products/1102-2.webp|/img/products/1102-3.webp|/img/products/1102-4.webp|/img/products/1102-5.webp,yes
"Dry Fruit Tray (Bandej, 10 × 14 in)","Gift Boxes, Trays, Bags & Baskets",10 × 14 in ₹125,125,1103,"Dry Fruit Tray (Bandej, 10 × 14 in), 10 × 14 in, at ₹125 per piece.",in_stock,/img/products/1103.webp|/img/products/1103-2.webp,yes
Dry Fruit Tray (Double Pipe),"Gift Boxes, Trays, Bags & Baskets",12 × 12 in ₹155 · 14 × 14 in ₹170 · 12 × 16 in ₹190,155,1104,"Dry Fruit Tray (Double Pipe) in 3 sizes, sold per piece: 12 × 12 in ₹155, 14 × 14 in ₹170, 12 × 16 in ₹190.",in_stock,/img/products/1104.webp|/img/products/1104-2.webp|/img/products/1104-3.webp,yes
Dry Fruit Tray (Golden Lace),"Gift Boxes, Trays, Bags & Baskets",10 × 10 in ₹135 · 12 × 16 in ₹160,135,1105,"Dry Fruit Tray (Golden Lace) in 2 sizes, sold per piece: 10 × 10 in ₹135, 12 × 16 in ₹160.",in_stock,/img/products/1105.webp|/img/products/1105-2.webp,yes
Dry Fruit Tray (Round),"Gift Boxes, Trays, Bags & Baskets",12 in ₹140 · 14 in ₹170,140,1106,"Dry Fruit Tray (Round) in 2 sizes, sold per piece: 12 in ₹140, 14 in ₹170.",in_stock,/img/products/1106.webp,yes
Digital Taper Tray (12 × 12 / 14 × 14 in),"Gift Boxes, Trays, Bags & Baskets",12 × 12 ₹105 · 14 × 14 ₹120,105,1107,"Digital Taper Tray (12 × 12 / 14 × 14 in) in 2 sizes, sold per piece: 12 × 12 ₹105, 14 × 14 ₹120.",in_stock,/img/products/1107.webp|/img/products/1107-2.webp,yes
Rectangle Digital Taper Tray,"Gift Boxes, Trays, Bags & Baskets",16 × 21 in ₹170,170,1108,"Rectangle Digital Taper Tray, 16 × 21 in, at ₹170 per piece.",in_stock,/img/products/1108.webp|/img/products/1108-2.webp|/img/products/1108-3.webp,yes
Digital Taper Tray (14 × 18 in),"Gift Boxes, Trays, Bags & Baskets",14 × 18 in ₹140,140,1109,"Digital Taper Tray (14 × 18 in), 14 × 18 in, at ₹140 per piece.",in_stock,/img/products/1109.webp|/img/products/1109-2.webp|/img/products/1109-3.webp|/img/products/1109-4.webp|/img/products/1109-5.webp|/img/products/1109-6.webp|/img/products/1109-7.webp,yes
Gate Tray Velvet Cloth,"Gift Boxes, Trays, Bags & Baskets",12 × 18 in ₹155 · 14 × 18 in ₹170,155,1110,"Gate Tray Velvet Cloth in 2 sizes, sold per piece: 12 × 18 in ₹155, 14 × 18 in ₹170.",in_stock,/img/products/1110.webp|/img/products/1110-2.webp|/img/products/1110-3.webp,yes
Wave Tray,"Gift Boxes, Trays, Bags & Baskets",18 × 14 in ₹180,180,1111,"Wave Tray, 18 × 14 in, at ₹180 per piece.",in_stock,/img/products/1111.webp|/img/products/1111-2.webp|/img/products/1111-3.webp|/img/products/1111-4.webp|/img/products/1111-5.webp,yes
S Tray,"Gift Boxes, Trays, Bags & Baskets",14 × 18 in ₹170,170,1112,"S Tray, 14 × 18 in, at ₹170 per piece.",in_stock,/img/products/1112.webp|/img/products/1112-2.webp|/img/products/1112-3.webp,yes
Digital Print Tray,"Gift Boxes, Trays, Bags & Baskets",14 × 18 in ₹170,170,1113,"Digital Print Tray, 14 × 18 in, at ₹170 per piece.",in_stock,/img/products/1113.webp,yes
Printed Rectangle Tray,"Gift Boxes, Trays, Bags & Baskets",10 × 18 in ₹400,400,1114,"Printed Rectangle Tray, 10 × 18 in, at ₹400 per piece.",in_stock,/img/products/1114.webp|/img/products/1114-2.webp,yes
Digital Tray,"Gift Boxes, Trays, Bags & Baskets",14 × 10 in ₹210 · 16 × 12 in ₹235 · 18 × 14 in ₹260,210,1115,"Digital Tray in 3 sizes, sold per piece: 14 × 10 in ₹210, 16 × 12 in ₹235, 18 × 14 in ₹260.",in_stock,/img/products/1115.webp|/img/products/1115-2.webp|/img/products/1115-3.webp,yes
Wave Tray Set,"Gift Boxes, Trays, Bags & Baskets",10 × 14 in ₹220 · 12 × 16 in ₹255 · 14 × 18 in ₹290,220,1116,"Wave Tray Set in 3 sizes, sold per piece: 10 × 14 in ₹220, 12 × 16 in ₹255, 14 × 18 in ₹290.",in_stock,/img/products/1116.webp|/img/products/1116-2.webp|/img/products/1116-3.webp|/img/products/1116-4.webp,yes
Lakh Tray,"Gift Boxes, Trays, Bags & Baskets",15 in ₹215,215,1117,"Lakh Tray, 15 in, at ₹215 per piece.",in_stock,/img/products/1117.webp,yes
Silver Tray,"Gift Boxes, Trays, Bags & Baskets",20 × 20 in ₹30,30,1118,"Silver Tray, 20 × 20 in, at ₹30 per piece.",in_stock,/img/products/1118.webp,yes
White Dori Velvet Tokri,"Gift Boxes, Trays, Bags & Baskets",9 in ₹40 · 12 in ₹60,40,1301,"White Dori Velvet Tokri in 2 sizes, sold per piece: 9 in ₹40, 12 in ₹60.",in_stock,/img/products/1301.webp,yes
Mirror Velvet Tokri,"Gift Boxes, Trays, Bags & Baskets",9 in ₹50,50,1302,"Mirror Velvet Tokri, 9 in, at ₹50 per piece.",in_stock,/img/products/1302.webp,yes
Mirror Velvet Basket,"Gift Boxes, Trays, Bags & Baskets",8 × 12 in ₹70,70,1303,"Mirror Velvet Basket, 8 × 12 in, at ₹70 per piece.",in_stock,/img/products/1303.webp,yes
Red Velvet Tokri,"Gift Boxes, Trays, Bags & Baskets",9 in ₹40,40,1304,"Red Velvet Tokri, 9 in, at ₹40 per piece.",in_stock,/img/products/1304.webp,yes
Heart Box,"Gift Boxes, Trays, Bags & Baskets",9 cm ₹35,35,1305,"Heart Box, 9 cm, at ₹35 per piece.",in_stock,/img/products/1305.webp,yes
Oasis Round Gift Box,"Gift Boxes, Trays, Bags & Baskets",11.5 × 13.5 in ₹160 · 13 × 16 in ₹185 · 14.5 × 18.5 in ₹210,160,1306,"Oasis Round Gift Box in 3 sizes, sold per piece: 11.5 × 13.5 in ₹160, 13 × 16 in ₹185, 14.5 × 18.5 in ₹210.",in_stock,/img/products/1306.webp,yes
Oasis Square Gift Box,"Gift Boxes, Trays, Bags & Baskets",11.5 × 13.5 in ₹160 · 13 × 16 in ₹185 · 14.5 × 18.5 in ₹210,160,1307,"Oasis Square Gift Box in 3 sizes, sold per piece: 11.5 × 13.5 in ₹160, 13 × 16 in ₹185, 14.5 × 18.5 in ₹210.",in_stock,/img/products/1307.webp|/img/products/1307-2.webp,yes
Oasis Balti,"Gift Boxes, Trays, Bags & Baskets",5 × 5 × 7 in ₹225,225,1308,"Oasis Balti, 5 × 5 × 7 in, at ₹225 per piece.",in_stock,/img/products/1308.webp|/img/products/1308-2.webp,yes
Oasis Purse,"Gift Boxes, Trays, Bags & Baskets",5 × 7 in ₹90,90,1309,"Oasis Purse, 5 × 7 in, at ₹90 per piece.",in_stock,/img/products/1309.webp|/img/products/1309-2.webp|/img/products/1309-3.webp,yes
Oasis Handle Bag,"Gift Boxes, Trays, Bags & Baskets",4 × 9 in ₹90,90,1310,"Oasis Handle Bag, 4 × 9 in, at ₹90 per piece.",in_stock,/img/products/1310.webp|/img/products/1310-2.webp|/img/products/1310-3.webp,yes
Pan Cash Box,"Gift Boxes, Trays, Bags & Baskets",8 × 4 in ₹55,55,1311,"Pan Cash Box, 8 × 4 in, at ₹55 per piece.",in_stock,/img/products/1311.webp,yes
Work Cash Box,"Gift Boxes, Trays, Bags & Baskets",8 × 4 in ₹90,90,1312,"Work Cash Box, 8 × 4 in, at ₹90 per piece.",in_stock,/img/products/1312.webp,yes
Blue Box,"Gift Boxes, Trays, Bags & Baskets",8 × 8 × 4 in ₹180,180,1313,"Blue Box, 8 × 8 × 4 in, at ₹180 per piece.",in_stock,/img/products/1313.webp,yes
