name,category,spec,price,code,description,availability,image,published
Wisteria Hanging,Artificial Flowers & Greenery,Packet of 12,180,201,"Wisteria Hanging, sold in packets of 12 at ₹180 a packet.",in_stock,/img/products/201.webp|/img/products/201-2.webp|/img/products/201-3.webp|/img/products/201-4.webp|/img/products/201-5.webp|/img/products/201-6.webp|/img/products/201-7.webp|/img/products/201-8.webp|/img/products/201-9.webp|/img/products/201-10.webp,yes
Rose Hanging,Artificial Flowers & Greenery,21 cm Qnty: 1 Pcs · per piece,100,202,"Rose Hanging, 21 cm Qnty: 1 Pcs, at ₹100 per piece.",in_stock,/img/products/202.webp,yes
K-6 Rose,Artificial Flowers & Greenery,Per piece,65,202B,"K-6 Rose, at ₹65 per piece.",in_stock,/img/products/202B.webp,yes
New Hanging,Artificial Flowers & Greenery,Packet of 10,600,203,"New Hanging, sold in packets of 10 at ₹600 a packet.",in_stock,/img/products/203.webp,yes
8 Feet Hanging,Artificial Flowers & Greenery,8 feet Qnty: 1 Pcs · per piece,65,204,"8 Feet Hanging, 8 feet Qnty: 1 Pcs, at ₹65 per piece.",in_stock,/img/products/204.webp|/img/products/204-2.webp,yes
Gendu (Merry Gold),Artificial Flowers & Greenery,Packet of 5,90,205,"Gendu (Merry Gold), sold in packets of 5 at ₹90 a packet.",in_stock,/img/products/205.webp,yes
Cherry Blossom,Artificial Flowers & Greenery,21 cm Qnty: 1 Pcs 7 Stick · per piece,65,206,"Cherry Blossom, 21 cm Qnty: 1 Pcs 7 Stick, at ₹65 per piece.",in_stock,/img/products/206.webp,yes
Orchid,Artificial Flowers & Greenery,Packet of 5,85,207,"Orchid, sold in packets of 5 at ₹85 a packet.",in_stock,/img/products/207.webp,yes
Long Stick (Design 1),Artificial Flowers & Greenery,Per piece,90,208,"Long Stick (Design 1), at ₹90 per piece.",in_stock,/img/products/208.webp,yes
Long Stick (Design 2),Artificial Flowers & Greenery,Per piece,90,209,"Long Stick (Design 2), at ₹90 per piece.",in_stock,/img/products/209.webp,yes
Hydenza Stick,Artificial Flowers & Greenery,Per piece,100,210,"Hydenza Stick, at ₹100 per piece.",in_stock,/img/products/210.webp,yes
Taxo Stick,Artificial Flowers & Greenery,Per piece,90,211,"Taxo Stick, at ₹90 per piece.",in_stock,/img/products/211.webp,yes
Bobanvelia Stick (Design 1),Artificial Flowers & Greenery,Per piece,90,212,"Bobanvelia Stick (Design 1), at ₹90 per piece.",in_stock,/img/products/212.webp,yes
Bobanvelia Stick (Design 2),Artificial Flowers & Greenery,Per piece,240,213,"Bobanvelia Stick (Design 2), at ₹240 per piece.",in_stock,/img/products/213.webp,yes
Gladius,Artificial Flowers & Greenery,69 cm Qnty: 1 Pcs · per piece,100,214,"Gladius, 69 cm Qnty: 1 Pcs, at ₹100 per piece.",in_stock,/img/products/214.webp,yes
Rose Bunch,Artificial Flowers & Greenery,Per piece,45,215,"Rose Bunch, at ₹45 per piece.",in_stock,/img/products/215.webp,yes
White Gypsy,Artificial Flowers & Greenery,60 cm Qnty: 1 Stick · per piece,45,216,"White Gypsy, 60 cm Qnty: 1 Stick, at ₹45 per piece.",in_stock,/img/products/216.webp,yes
Seven (7) Stick Bunch,Artificial Flowers & Greenery,52 cm Qnty: 1 Pcs · per piece,45,217,"Seven (7) Stick Bunch, 52 cm Qnty: 1 Pcs, at ₹45 per piece.",in_stock,/img/products/217.webp|/img/products/217-2.webp|/img/products/217-3.webp|/img/products/217-4.webp|/img/products/217-5.webp|/img/products/217-6.webp|/img/products/217-7.webp|/img/products/217-8.webp,yes
Twenty Four (24) Stick Bunch,Artificial Flowers & Greenery,52 cm Qnty: 1 Pcs · per piece,220,218,"Twenty Four (24) Stick Bunch, 52 cm Qnty: 1 Pcs, at ₹220 per piece.",in_stock,/img/products/218.webp|/img/products/218-2.webp|/img/products/218-3.webp|/img/products/218-4.webp|/img/products/218-5.webp|/img/products/218-6.webp|/img/products/218-7.webp,yes
Thirty Six (36) Stick Bunch,Artificial Flowers & Greenery,62cm Qnty: 1 Pcs · per piece,340,219,"Thirty Six (36) Stick Bunch, 62cm Qnty: 1 Pcs, at ₹340 per piece.",in_stock,/img/products/219.webp|/img/products/219-2.webp|/img/products/219-3.webp|/img/products/219-4.webp|/img/products/219-5.webp|/img/products/219-6.webp,yes
Sunflower Bunch,Artificial Flowers & Greenery,30 cm Qnty: 1 Pcs · per piece,65,220,"Sunflower Bunch, 30 cm Qnty: 1 Pcs, at ₹65 per piece.",in_stock,/img/products/220.webp,yes
Plain Bottle Pot,Pots & Vases,24 in · per piece,675,3103B,"Plain Bottle Pot, 24 in, at ₹675 per piece.",in_stock,/img/products/3103B.webp,yes
Bottle Printed Pot,Pots & Vases,24 in · per piece,"1,275",3104B,"Bottle Printed Pot, 24 in, at ₹1,275 per piece.",in_stock,/img/products/3104B.webp,yes
Bottle Printed Pot (30 in),Pots & Vases,30 in · per piece,"1,125",3105B,"Bottle Printed Pot (30 in), 30 in, at ₹1,125 per piece.",in_stock,/img/products/3105B.webp,yes
Patta Pot (30 in),Pots & Vases,30 in · per piece,900,3106B,"Patta Pot (30 in), 30 in, at ₹900 per piece.",in_stock,/img/products/3106B.webp,yes
Patta Pot (24 in),Pots & Vases,24 in · per piece,350,3107,"Patta Pot (24 in), 24 in, at ₹350 per piece.",in_stock,/img/products/3107.webp,yes
Lace Pot (24 in),Pots & Vases,24 in · per piece,435,3108,"Lace Pot (24 in), 24 in, at ₹435 per piece.",in_stock,/img/products/3108.webp,yes
Marble Pot,Pots & Vases,36 in · per piece,"1,280",3109,"Marble Pot, 36 in, at ₹1,280 per piece.",in_stock,/img/products/3109.webp,yes
Bright Lycra Plain White Wall Heavy 26gj (8part),"Backdrops, Wall Panels & Cloths",10 × 20 ft ₹999 · 10 × 15 ft ₹799 · per piece,799,3901,"Bright Lycra Plain White Wall Heavy 26gj (8part) in 2 sizes, sold per piece: 10 × 20 ft ₹999, 10 × 15 ft ₹799.",in_stock,/img/products/3901.webp,yes
