name,category,spec,price,code,description,availability,image,published
4 Jar Suede Boat Jar Basket,"Gift Boxes, Trays, Bags & Baskets",MDF · 4 jars of 200–250 g · per piece,665,1153,"4 Jar Suede Boat Jar Basket (MDF · 4 jars of 200–250 g), at ₹665 per piece.",in_stock,/img/products/1153.webp,yes
4 Jar Leaf,"Gift Boxes, Trays, Bags & Baskets",MDF · 4 jars of 200–250 g · per piece,665,1154,"4 Jar Leaf (MDF · 4 jars of 200–250 g), at ₹665 per piece.",in_stock,/img/products/1154.webp,yes
Mor Frame Box,"Gift Boxes, Trays, Bags & Baskets",GLASS · jars of 200–250 g · per piece,925,1156,"Mor Frame Box (GLASS · jars of 200–250 g), at ₹925 per piece.",in_stock,/img/products/1156.webp|/img/products/1156-2.webp|/img/products/1156-3.webp,yes
4 Jar Blue Mirror Box,"Gift Boxes, Trays, Bags & Baskets",MDF · 4 jars of 200–250 g · per piece,"1,000",1157,"4 Jar Blue Mirror Box (MDF · 4 jars of 200–250 g), at ₹1,000 per piece.",in_stock,/img/products/1157.webp|/img/products/1157-2.webp,yes
5 Jar Royal Mint,"Gift Boxes, Trays, Bags & Baskets",MDF · 5 jars of 200–250 g · per piece,550,1158,"5 Jar Royal Mint (MDF · 5 jars of 200–250 g), at ₹550 per piece.",in_stock,/img/products/1158.webp|/img/products/1158-2.webp,yes
5 Jar Blue Elephant,"Gift Boxes, Trays, Bags & Baskets",MDF · 5 jars of 200–250 g · per piece,550,1159,"5 Jar Blue Elephant (MDF · 5 jars of 200–250 g), at ₹550 per piece.",in_stock,/img/products/1159.webp|/img/products/1159-2.webp,yes
5 Jar Bottle Box,"Gift Boxes, Trays, Bags & Baskets",MDF · 5 jars of 200–250 g · per piece,525,1160,"5 Jar Bottle Box (MDF · 5 jars of 200–250 g), at ₹525 per piece.",in_stock,/img/products/1160.webp|/img/products/1160-2.webp|/img/products/1160-3.webp|/img/products/1160-4.webp,yes
6 Jar Green Flower,"Gift Boxes, Trays, Bags & Baskets",MDF · 6 jars of 200–250 g · per piece,520,1161,"6 Jar Green Flower (MDF · 6 jars of 200–250 g), at ₹520 per piece.",in_stock,/img/products/1161.webp|/img/products/1161-2.webp,yes
6 Jar Topaz,"Gift Boxes, Trays, Bags & Baskets",Kappa board · 6 jars of 200–250 g · per piece,520,1162,"6 Jar Topaz (Kappa board · 6 jars of 200–250 g), at ₹520 per piece.",in_stock,/img/products/1162.webp,yes
6 Jar Mor Tin Bag Box,"Gift Boxes, Trays, Bags & Baskets",MDF · 6 jars of 200–250 g · per piece,690,1163,"6 Jar Mor Tin Bag Box (MDF · 6 jars of 200–250 g), at ₹690 per piece.",in_stock,/img/products/1163.webp|/img/products/1163-2.webp,yes
6 Jar Pushpa,"Gift Boxes, Trays, Bags & Baskets",MDF · 6 jars of 200–250 g · per piece,795,1164,"6 Jar Pushpa (MDF · 6 jars of 200–250 g), at ₹795 per piece.",in_stock,/img/products/1164.webp,yes
6 Jar Trident,"Gift Boxes, Trays, Bags & Baskets",MDF · 6 jars of 200–250 g · per piece,880,1165,"6 Jar Trident (MDF · 6 jars of 200–250 g), at ₹880 per piece.",in_stock,/img/products/1165.webp,yes
6 Jar Cream Marble,"Gift Boxes, Trays, Bags & Baskets",MDF · 6 jars of 200–250 g · per piece,615,1166,"6 Jar Cream Marble (MDF · 6 jars of 200–250 g), at ₹615 per piece.",in_stock,/img/products/1166.webp|/img/products/1166-2.webp,yes
Parachute Crystal Lamp,Lamps & Diyas,16 in ₹850,850,701,"Parachute Crystal Lamp, 16 in, at ₹850 per piece.",in_stock,/img/products/701.webp,yes
Crystal Balloon Lamp,Lamps & Diyas,12 in ₹850,850,702,"Crystal Balloon Lamp, 12 in, at ₹850 per piece.",in_stock,/img/products/702.webp,yes
Big Wire Lamp,Lamps & Diyas,16 in ₹650,650,703,"Big Wire Lamp, 16 in, at ₹650 per piece.",in_stock,/img/products/703.webp,yes
Small Wire Lamp,Lamps & Diyas,14 in ₹550,550,704,"Small Wire Lamp, 14 in, at ₹550 per piece.",in_stock,/img/products/704.webp,yes
Lamp,Lamps & Diyas,7 in ₹90,90,705,"Lamp, 7 in, at ₹90 per piece.",in_stock,/img/products/705.webp,yes
Hanging Lamp,Lamps & Diyas,9 in ₹500,500,706,"Hanging Lamp, 9 in, at ₹500 per piece.",in_stock,/img/products/706.webp,yes
Light Bird,Lights & Lighting Décor,6 × 10 ₹100,100,707,"Light Bird, 6 × 10, at ₹100 per piece.",in_stock,/img/products/707.webp,yes
Titli Bird,Lights & Lighting Décor,6 × 10 ₹100,100,708,"Titli Bird, 6 × 10, at ₹100 per piece.",in_stock,/img/products/708.webp,yes
Golden Lamp,Lamps & Diyas,"14"", 18"", 22"" ₹1,800","1,800",709,"Golden Lamp, 14"", 18"", 22"", at ₹1,800 per piece.",in_stock,/img/products/709.webp,yes
Golden Heavy Lamp,Lamps & Diyas,"16"", 24"", 30"" ₹2,700","2,700",710,"Golden Heavy Lamp, 16"", 24"", 30"", at ₹2,700 per piece.",in_stock,/img/products/710.webp,yes
Cycle,Accessories,"4 ft ₹3,000","3,000",711,"Cycle, 4 ft, at ₹3,000 per piece.",in_stock,/img/products/711.webp|/img/products/711-2.webp,yes
2 Jar Pink Marble,"Gift Boxes, Trays, Bags & Baskets",MDF · 2 jars of 200–250 g · per piece,225,1101B,"2 Jar Pink Marble (MDF · 2 jars of 200–250 g), at ₹225 per piece.",in_stock,/img/products/1101B.webp|/img/products/1101B-2.webp,yes
2 Jar Green Flower Box,"Gift Boxes, Trays, Bags & Baskets",MDF · 2 jars of 200–250 g · per piece,225,1102B,"2 Jar Green Flower Box (MDF · 2 jars of 200–250 g), at ₹225 per piece.",in_stock,/img/products/1102B.webp|/img/products/1102B-2.webp,yes
2 Jar Cream Paper,"Gift Boxes, Trays, Bags & Baskets",MDF · 2 jars of 200–250 g · per piece,225,1103B,"2 Jar Cream Paper (MDF · 2 jars of 200–250 g), at ₹225 per piece.",in_stock,/img/products/1103B.webp|/img/products/1103B-2.webp,yes
2 Jar Sky,"Gift Boxes, Trays, Bags & Baskets",Kappa board · 2 jars of 200–250 g · per piece,225,1104B,"2 Jar Sky (Kappa board · 2 jars of 200–250 g), at ₹225 per piece.",in_stock,/img/products/1104B.webp,yes
2 Jar Cream Jali,"Gift Boxes, Trays, Bags & Baskets",MDF · 2 jars of 200–250 g · per piece,250,1105B,"2 Jar Cream Jali (MDF · 2 jars of 200–250 g), at ₹250 per piece.",in_stock,/img/products/1105B.webp|/img/products/1105B-2.webp,yes
2 Jar Green Flower Open Box,"Gift Boxes, Trays, Bags & Baskets",MDF · 2 jars of 200–250 g · per piece,265,1106B,"2 Jar Green Flower Open Box (MDF · 2 jars of 200–250 g), at ₹265 per piece.",in_stock,/img/products/1106B.webp,yes
2 Jar Glass,"Gift Boxes, Trays, Bags & Baskets",MDF · 2 jars of 200–250 g · per piece,285,1107B,"2 Jar Glass (MDF · 2 jars of 200–250 g), at ₹285 per piece.",in_stock,/img/products/1107B.webp|/img/products/1107B-2.webp,yes
2 Jar Cream Dori,"Gift Boxes, Trays, Bags & Baskets",MDF · 2 jars of 200–250 g · per piece,330,1108B,"2 Jar Cream Dori (MDF · 2 jars of 200–250 g), at ₹330 per piece.",in_stock,/img/products/1108B.webp|/img/products/1108B-2.webp|/img/products/1108B-3.webp,yes
2 Jar Blue Elephant,"Gift Boxes, Trays, Bags & Baskets",MDF · 2 jars of 200–250 g · per piece,340,1109B,"2 Jar Blue Elephant (MDF · 2 jars of 200–250 g), at ₹340 per piece.",in_stock,/img/products/1109B.webp|/img/products/1109B-2.webp,yes
2 Jar Midnight,"Gift Boxes, Trays, Bags & Baskets",MDF · 2 jars of 200–250 g · per piece,380,1110B,"2 Jar Midnight (MDF · 2 jars of 200–250 g), at ₹380 per piece.",in_stock,/img/products/1110B.webp,yes
2 Jar Zenith,"Gift Boxes, Trays, Bags & Baskets",MDF · 2 jars of 200–250 g · per piece,380,1111B,"2 Jar Zenith (MDF · 2 jars of 200–250 g), at ₹380 per piece.",in_stock,/img/products/1111B.webp,yes
2 Jar Mor Tin Bag Box,"Gift Boxes, Trays, Bags & Baskets",MDF · 2 jars of 200–250 g · per piece,405,1112B,"2 Jar Mor Tin Bag Box (MDF · 2 jars of 200–250 g), at ₹405 per piece.",in_stock,/img/products/1112B.webp|/img/products/1112B-2.webp,yes
2 Jar Blue Golden Ambi,"Gift Boxes, Trays, Bags & Baskets",MDF · 2 jars of 200–250 g · per piece,405,1113B,"2 Jar Blue Golden Ambi (MDF · 2 jars of 200–250 g), at ₹405 per piece.",in_stock,/img/products/1113B.webp|/img/products/1113B-2.webp,yes
2 Jar Elite,"Gift Boxes, Trays, Bags & Baskets",MDF · 2 jars of 200–250 g · per piece,405,1114B,"2 Jar Elite (MDF · 2 jars of 200–250 g), at ₹405 per piece.",in_stock,/img/products/1114B.webp|/img/products/1114B-2.webp,yes
3 Jar Pink Marble,"Gift Boxes, Trays, Bags & Baskets",MDF · 3 jars of 200–250 g · per piece,290,1115B,"3 Jar Pink Marble (MDF · 3 jars of 200–250 g), at ₹290 per piece.",in_stock,/img/products/1115B.webp|/img/products/1115B-2.webp,yes
3 Jar Green Flower Box,"Gift Boxes, Trays, Bags & Baskets",MDF · 3 jars of 200–250 g · per piece,290,1116B,"3 Jar Green Flower Box (MDF · 3 jars of 200–250 g), at ₹290 per piece.",in_stock,/img/products/1116B.webp|/img/products/1116B-2.webp,yes
3 Jar Cream Paper,"Gift Boxes, Trays, Bags & Baskets",MDF · 3 jars of 200–250 g · per piece,290,1117B,"3 Jar Cream Paper (MDF · 3 jars of 200–250 g), at ₹290 per piece.",in_stock,/img/products/1117B.webp|/img/products/1117B-2.webp,yes
3 Jar Sky,"Gift Boxes, Trays, Bags & Baskets",Kappa board · 3 jars of 200–250 g · per piece,290,1118B,"3 Jar Sky (Kappa board · 3 jars of 200–250 g), at ₹290 per piece.",in_stock,/img/products/1118B.webp,yes
3 Jar Cream Jali,"Gift Boxes, Trays, Bags & Baskets",MDF · 3 jars of 200–250 g · per piece,330,1119,"3 Jar Cream Jali (MDF · 3 jars of 200–250 g), at ₹330 per piece.",in_stock,/img/products/1119.webp|/img/products/1119-2.webp,yes
3 Jar Green Flower Open Box,"Gift Boxes, Trays, Bags & Baskets",MDF · 3 jars of 200–250 g · per piece,345,1120,"3 Jar Green Flower Open Box (MDF · 3 jars of 200–250 g), at ₹345 per piece.",in_stock,/img/products/1120.webp,yes
3 Jar Glass,"Gift Boxes, Trays, Bags & Baskets",MDF · 3 jars of 200–250 g · per piece,360,1121,"3 Jar Glass (MDF · 3 jars of 200–250 g), at ₹360 per piece.",in_stock,/img/products/1121.webp|/img/products/1121-2.webp,yes
3 Jar Cream Dori,"Gift Boxes, Trays, Bags & Baskets",MDF · 3 jars of 200–250 g · per piece,395,1122,"3 Jar Cream Dori (MDF · 3 jars of 200–250 g), at ₹395 per piece.",in_stock,/img/products/1122.webp|/img/products/1122-2.webp,yes
3 Jar Maroon Mandala,"Gift Boxes, Trays, Bags & Baskets",MDF · 3 jars of 200–250 g · per piece,405,1123,"3 Jar Maroon Mandala (MDF · 3 jars of 200–250 g), at ₹405 per piece.",in_stock,/img/products/1123.webp|/img/products/1123-2.webp,yes
3 Jar Commet,"Gift Boxes, Trays, Bags & Baskets",MDF · 3 jars of 200–250 g · per piece,410,1124,"3 Jar Commet (MDF · 3 jars of 200–250 g), at ₹410 per piece.",in_stock,/img/products/1124.webp,yes
Daisy Triangle,"Gift Boxes, Trays, Bags & Baskets",MDF · jars of 200–250 g · per piece,440,1125,"Daisy Triangle (MDF · jars of 200–250 g), at ₹440 per piece.",in_stock,/img/products/1125.webp,yes
3 Jar Blue Golden Ambi,"Gift Boxes, Trays, Bags & Baskets",MDF · 3 jars of 200–250 g · per piece,465,1126,"3 Jar Blue Golden Ambi (MDF · 3 jars of 200–250 g), at ₹465 per piece.",in_stock,/img/products/1126.webp|/img/products/1126-2.webp,yes
3 Jar Cream Mor Bag,"Gift Boxes, Trays, Bags & Baskets",MDF · 3 jars of 200–250 g · per piece,465,1127,"3 Jar Cream Mor Bag (MDF · 3 jars of 200–250 g), at ₹465 per piece.",in_stock,/img/products/1127.webp|/img/products/1127-2.webp,yes
3 Jar Mor Tin Bag Box,"Gift Boxes, Trays, Bags & Baskets",MDF · 3 jars of 200–250 g · per piece,490,1128,"3 Jar Mor Tin Bag Box (MDF · 3 jars of 200–250 g), at ₹490 per piece.",in_stock,/img/products/1128.webp|/img/products/1128-2.webp,yes
3 Jar Galaxy Box,"Gift Boxes, Trays, Bags & Baskets",MDF · 3 jars of 200–250 g · per piece,490,1129,"3 Jar Galaxy Box (MDF · 3 jars of 200–250 g), at ₹490 per piece.",in_stock,/img/products/1129.webp,yes
3 Jar Pink Flower,"Gift Boxes, Trays, Bags & Baskets",MDF · 3 jars of 200–250 g · per piece,495,1130,"3 Jar Pink Flower (MDF · 3 jars of 200–250 g), at ₹495 per piece.",in_stock,/img/products/1130.webp|/img/products/1130-2.webp,yes
Wooden Triangle,"Gift Boxes, Trays, Bags & Baskets",MDF · jars of 200–250 g · per piece,525,1131,"Wooden Triangle (MDF · jars of 200–250 g), at ₹525 per piece.",in_stock,/img/products/1131.webp,yes
Wooden Lamp Triangle,"Gift Boxes, Trays, Bags & Baskets",MDF · jars of 200–250 g · per piece,560,1132,"Wooden Lamp Triangle (MDF · jars of 200–250 g), at ₹560 per piece.",in_stock,/img/products/1132.webp,yes
