name,category,spec,price,code,description,availability,image,published
Balloon Machine,SFX & Special Effects,Per piece,999,609,"Balloon Machine, at ₹999 per piece.",in_stock,/img/products/609.webp|/img/products/609-2.webp,yes
Bubble Machine,SFX & Special Effects,Per piece,630,610,"Bubble Machine, at ₹630 per piece.",in_stock,/img/products/610.webp,yes
Dry Ice Matka With Stand,SFX & Special Effects,Per piece,950,611,"Dry Ice Matka With Stand, at ₹950 per piece.",in_stock,/img/products/611.webp|/img/products/611-2.webp,yes
Dry Ice Machine With Tray,SFX & Special Effects,Per piece,"4,500",612,"Dry Ice Machine With Tray, at ₹4,500 per piece.",in_stock,/img/products/612.webp,yes
Big Daddy Co2 Zambo,SFX & Special Effects,Per piece,"9,000",613,"Big Daddy Co2 Zambo, at ₹9,000 per piece.",in_stock,/img/products/613.webp|/img/products/613-2.webp,yes
Cold Sparkular Machine,SFX & Special Effects,Per piece,"15,000",614,"Cold Sparkular Machine, at ₹15,000 per piece.",in_stock,/img/products/614.webp|/img/products/614-2.webp,yes
Co2 LED Confetti Gun (3 In 1),SFX & Special Effects,Per piece,"10,500",615,"Co2 LED Confetti Gun (3 In 1), at ₹10,500 per piece.",in_stock,/img/products/615.webp|/img/products/615-2.webp,yes
Co2 Confetti Hand Jumbo Gun,SFX & Special Effects,Per piece,"6,300",616,"Co2 Confetti Hand Jumbo Gun, at ₹6,300 per piece.",in_stock,/img/products/616.webp|/img/products/616-2.webp,yes
Selfie Booth (360° Rotation),SFX & Special Effects,2.5 ft · per piece,"16,000",617,"Selfie Booth (360° Rotation), 2.5 ft, at ₹16,000 per piece.",in_stock,/img/products/617.webp|/img/products/617-2.webp,yes
Dry Ice Big Machine,SFX & Special Effects,1.5 ft · per piece,"7,700",618,"Dry Ice Big Machine, 1.5 ft, at ₹7,700 per piece.",in_stock,/img/products/618.webp,yes
Foam Machine,SFX & Special Effects,5 ft · per piece,"15,000",619,"Foam Machine, 5 ft, at ₹15,000 per piece.",in_stock,/img/products/619.webp,yes
Fan Wheel,SFX & Special Effects,Per piece,"7,300",620,"Fan Wheel, at ₹7,300 per piece.",in_stock,/img/products/620.webp,yes
Botal Pot,Pots & Vases,24 in · per piece,710,3101,"Botal Pot, 24 in, at ₹710 per piece.",in_stock,/img/products/3101.webp|/img/products/3101-2.webp|/img/products/3101-3.webp|/img/products/3101-4.webp,yes
Printed Pot,Pots & Vases,36 in · per piece,"1,350",3102,"Printed Pot, 36 in, at ₹1,350 per piece.",in_stock,/img/products/3102.webp|/img/products/3102-2.webp,yes
Patta Pot,Pots & Vases,30 in · per piece,930,3103,"Patta Pot, 30 in, at ₹930 per piece.",in_stock,/img/products/3103.webp|/img/products/3103-2.webp,yes
Moti Pot (24 / 36 in),Pots & Vases,"24 in ₹645 · 36 in ₹1,950 · per piece",645,3104,"Moti Pot (24 / 36 in) in 2 sizes, sold per piece: 24 in ₹645, 36 in ₹1,950.",in_stock,/img/products/3104.webp|/img/products/3104-2.webp,yes
Moti Pot (30 in),Pots & Vases,30 in · per piece,"1,390",3105,"Moti Pot (30 in), 30 in, at ₹1,390 per piece.",in_stock,/img/products/3105.webp|/img/products/3105-2.webp,yes
Lace Pot,Pots & Vases,"30 in ₹1,235 · 36 in ₹1,800 · per piece","1,235",3106,"Lace Pot in 2 sizes, sold per piece: 30 in ₹1,235, 36 in ₹1,800.",in_stock,/img/products/3106.webp,yes
Carnation Flower,Artificial Flowers & Greenery,Packet of 80,74,101,"Carnation Flower, sold in packets of 80 at ₹74 a packet.",in_stock,/img/products/101.webp,yes
Special Carnation,Artificial Flowers & Greenery,Packet of 100,220,102,"Special Carnation, sold in packets of 100 at ₹220 a packet.",in_stock,/img/products/102.webp,yes
Golden & Silver Carnation,Artificial Flowers & Greenery,Packet of 100,300,103,"Golden & Silver Carnation, sold in packets of 100 at ₹300 a packet.",in_stock,/img/products/103.webp,yes
9 Pappri Carnation,Artificial Flowers & Greenery,Packet of 100,400,104,"9 Pappri Carnation, sold in packets of 100 at ₹400 a packet.",in_stock,/img/products/104.webp,yes
